name,trade,phone,phone_alt,email,address,county,website,notes,verify_status
Attic Masters,Attic conversion,087 204 6994,,david.b.mulcahy@icloud.com,"Verona, Seafield Rd, Killiney, A96 KP94",Dublin,atticmasters.ie,"Trading since 2005. Named contact: David. Personal iCloud email = owner-operated, low digital maturity. Strong fit.",snippet-only
The Attic Man,Attic conversion,087 233 5220,,,"Unit 225 Blanchardstown Corp Park 2, Ballycoolin, D15 WK11",Dublin,theatticman.ie,"Family-run, 30+ yrs claimed, thousands of conversions. Directory lists an alt number 087 705 0026 - verify which is live.",snippet-only
Attic Living,Attic conversion,087 463 1144,,info@atticliving.ie,Drogheda,Louth,atticliving.ie,"Family-run. Claims 540+ customers - they count, which means they measure. Covers Dublin/Meath/Louth/Kildare/Wicklow.",snippet-only
Convert My Attic,Attic conversion,01 685 5118,,,Dublin,Dublin,convertmyattic.ie,"Publishes pricing: from EUR24500 + VAT. Price transparency already = easy creative angle. Covers Dublin/Meath/Kildare/Wicklow.",snippet-only
Apex Attics,Attic conversion,01 551 8127,,,"Old County Glen, D12",Dublin,apexattics.ie,"Greater Dublin plus Meath/Kildare/Wicklow. Offers free feasibility study - already has a lead magnet, just no traffic.",snippet-only
Leinster Attics,Attic conversion,083 484 0938,,info@leinsterattics.ie,Carbury,Kildare,leinsterattics.ie,"Kildare-based covering Leinster. Mobile-only number = small owner-run outfit.",snippet-only
Modern Attic Conversions,Attic conversion,01 525 5297,083 030 9474,,"Parkhill, Kilnamanagh",Dublin,atticconversionsdublin.com,"Runs county-specific landing pages (Kildare/Meath/Wicklow) - already SEO-aware, so likely receptive. Separate site modernattics.ie quotes from EUR18000.",snippet-only
CCS-Attic,Attic conversion,085 771 5414,,ccsattic19@gmail.com,Dublin,Dublin,ccs-attic.com,"Gmail address and mobile only - very low digital maturity. Cheapest possible win if capacity checks out.",snippet-only
GM Carpentry & Construction,Attic conversion,087 615 9429,,info@gmcarpentry.ie,Dublin,Dublin,gmcarpentry.ie,"Carpentry-led attic specialist. Verify attic share of revenue before pitching.",snippet-only
PT Attic Conversions,Attic conversion,087 912 7682,,,Dublin,Dublin,,"Listed via ESDA trade directory. No own site found - biggest upside but verify they are trading at scale.",snippet-only
Stone Builders,Extensions / renovation,01 485 3888,087 340 2626,info@stonebuilders.ie,"51 Bracken Rd, Sandyford Business Park, D18",Dublin,stonebuilders.ie,"30 yrs combined experience. Named contact Adrian (adrian@stonebuilders.ie). Runs a 'kitchen extensions special' offer page - already thinks in offers.",snippet-only
Greenoak Construction,Extensions / renovation,01 493 3013,087 850 2101,,"Unit 18A 12 Beckett Way, Park West Business Park, D12",Dublin,greenoak.ie,"Named principals Pat McCabe and Louise Byrne. Tight geographic focus: Rathfarnham/Templeogue/Knocklyon/D14. Ideal one-town-per-client profile.",snippet-only
Devitt Construction & Carpentry,Extensions / renovation,087 136 0297,,,Crumlin,Dublin,devittconstruction.com,"Family-run. Rear/front/wraparound/sunroom extensions. Mobile-only = owner answers the phone himself.",snippet-only
Placelift,Extensions / renovation,,,,South Co. Dublin & Wicklow,Dublin,placelift.ie,"NO PHONE FOUND - website only. Single-storey exempt-development extensions only, 10-12 week jobs. Productised scope = unusually good funnel fit.",no-phone-found
Shomera,Garden rooms / extensions,01 825 8288,,info@shomera.ie,"Unit 10, Dunshaughlin Business Park",Meath,shomera.ie,"26 yrs, category pioneer. Has a show area and published showroom hours - most mature prospect here, may already have an agency.",snippet-only
Garden Rooms (gardenrooms.ie),Garden rooms,01 862 4888,,info@gardenrooms.ie,"Beech Vista Garden Centre, Coldwinters, Ashbourne Rd, Finglas, D11 HC7V",Dublin,gardenrooms.ie,"Since 2003. Running a EUR1500-off Spring Sale - already discounting, which is the offer problem you fix. PHONE DIGITS LOOK MALFORMED IN SOURCE - verify.",verify-phone
Modern Garden Rooms,Garden rooms,087 677 9191,,info@moderngardenrooms.ie,"190A Iveragh Rd, Whitehall, D09 RR2R",Dublin,moderngardenrooms.ie,"Since 2008, Dublin and Leinster. Offers free site visits. Mobile-only number.",snippet-only
Rooms Outside,Garden rooms,01 910 4399,,,Dublin,Dublin,roomsoutside.ie,"15 yrs building garden studios. Active Facebook page = content already exists.",snippet-only
QK Living,Kitchens / fitted furniture,01 426 7200,,info@qkliving.com,"QK House, Greenhills Industrial Estate, Walkinstown, D12",Dublin,qkliving.ie,"40 yrs. On-site factory plus showroom. Does kitchens AND fitted wardrobes - two offers to build funnels around.",snippet-only
The Victorian Kitchen Company,Kitchens / joinery,01 672 7000,087 255 1299,,"Unit 3 Woodlawn Business Park, Swords Rd, K67 N7C1",Dublin,victoriankitchencompany.ie,"25-35 yrs, 1000+ kitchens installed, handmade solid timber. Premium positioning already - no price-fighting risk.",snippet-only
Noel Dempsey Design,Kitchens,0404 64548,,,"Unit 1, Charvey Business Park, Rathnew, A67 R990",Wicklow,noeldempsey.com,"30 yrs. Showroom 20 min from South Dublin, appointment-only. Appointment model = the booking funnel is the product.",snippet-only
Newcastle Design,Kitchens,,,info@newcastledesign.ie,"7-8 Charvey Way, Rathnew Business Park, A67 CK18",Wicklow,newcastledesign.ie,"NO PHONE FOUND. Founded 1997, 4000 sq ft showroom, high-end. Active Instagram - content supply confirmed.",no-phone-found
