No.,Business Name,Owner / Contact,Trade,Mobile,Landline,Email,Area / Address,Facebook,Website Status,Main Sell Point
1,Tyrrell Heating & Plumbing,,Plumber / Heating,087 708 5922,01 285 3817,,27 Hillside - Dalkey - Co. Dublin,facebook.com/DalkeyPlumber1/,NO WEBSITE,"Dalkey = big homes, big boiler jobs. Losing emergency callouts to competitors who show up on Google at night."
2,Ronan Connor Electrical Services,Ronan Connor,Electrician,086 822 2543,,,30 Watson Park - Killiney - Co. Dublin,,NO WEBSITE,"Killiney residential electrician invisible online. Every new homeowner Googling 'electrician near me' is going elsewhere."
3,Foxrock Electrical Services,Christopher Payne,Electrician,087 633 7116,01 289 1328,,7 Gort Na Mona Drive - Foxrock D18,,NO WEBSITE,"RECI registered since 1999 — zero online presence. Missing decades of credibility he could show on a page."
4,Kelly Plumbing,P.M. Kelly,Plumber,085 154 7243,,pmkelly390@gmail.com,Tallaght,,NO WEBSITE,"Has an email but no page to back it up. Missing all Google traffic for plumber in Tallaght."
5,South Dublin Plumbing,Cathal,Plumber,087 171 8603,,,South Dublin,facebook.com/p/South-Dublin-Plumbing-61560034205460/,NO WEBSITE,Active on Facebook but invisible on Google. Missing people who don't use Facebook to find tradesmen.
6,South Dublin Plumbing,James,Plumber,085 717 0092,,,South Dublin,,NO WEBSITE,Phone-only. No way for potential customers to find him outside of word of mouth.
7,Tallaght Electrical Services,,Electrician,087 246 5187,,tallaghtelectric@yahoo.ie,Tallaght D24,,NO WEBSITE,Has email but no website. Yahoo email address signals no online presence — easy pitch.
8,Peter Cullen Plumbing,Peter Cullen,Plumber,086 847 1344,01 284 9234,culmoreheatingandplumbing@hotmail.com,"181 Rochestown Avenue, Dun Laoghaire",,NO WEBSITE,"Has email, no website. Dun Laoghaire = high-value area, missing affluent homeowners searching online."
9,Blackrock Heating & Plumbing,Sean,Plumber,086 853 9366,,sean.blackrockheating@gmail.com,"Glenageary, Blackrock",,Placeholder page only (not a real site),"Has a holding page but no real site — perfect upgrade pitch. Blackrock area, premium jobs available."
10,Beas Decorating,Beatrice Lordan,Painter & Decorator,086 343 8662,,beatricelordan48@gmail.com,"Balbriggan, Dublin",facebook.com/beasdecoratingservices/,NO WEBSITE,"Has FB and email but no website. Missing Google search traffic. Female sole trader — a personal page would convert well."
