Name,Trade,Mobile,Landline,Email,Area,Facebook,Website,Cold Call Priority,Notes
Tyrrell Heating & Plumbing,Plumber / Heating,087 708 5922,01 285 3817,,27 Hillside - Dalkey,https://www.facebook.com/DalkeyPlumber1/,None,⭐⭐⭐⭐⭐,Best lead. Dalkey sole trader. No website anywhere. Golden Pages + Facebook + Twitter.
Ronan Connor Electrical Services,Electrician,086 822 2543,,,30 Watson Park - Killiney,None,None,⭐⭐⭐⭐⭐,Phone confirmed. Golden Pages listing only. No website. High-value residential area.
Foxrock Electrical Services (Christopher Payne),Electrician,087 633 7116,01 289 1328,,7 Gort Na Mona Drive - Foxrock D18,None,None,⭐⭐⭐⭐⭐,RECI registered since 1999. Very dependable reviews. No website anywhere.
Kelly Plumbing (P.M. Kelly),Plumber,085 154 7243,,pmkelly390@gmail.com,Tallaght,None,None,⭐⭐⭐⭐,Phone + email confirmed. No website. Facebook active.
South Dublin Plumbing (Cathal),Plumber,087 171 8603,,,South Dublin,https://www.facebook.com/p/South-Dublin-Plumbing-61560034205460/,None,⭐⭐⭐⭐,Phone confirmed. Facebook active. No website.
South Dublin Plumbing (James),Plumber,085 717 0092,,,South Dublin,None,None,⭐⭐⭐⭐,Phone confirmed. No website.
The Green Keeper (Ian Lawless),Gardener / Landscaper,086 874 6804,,ianthegreenkeeper@gmail.com,Cabinteely D18,https://www.facebook.com/thegreenkeeperdublin/,Wix page only (not professional),⭐⭐⭐⭐,Phone + email + FB. Has basic Wix page - perfect pitch to upgrade to real site.
Tallaght Electrical Services,Electrician,087 246 5187,,tallaghtelectric@yahoo.ie,Tallaght D24,None,None,⭐⭐⭐⭐,Phone + email confirmed. No website.
Beas Decorating (Beatrice Lordan),Painter & Decorator,086 343 8662,,beatricelordan48@gmail.com,Balbriggan - Dublin,https://www.facebook.com/beasdecoratingservices/,None,⭐⭐⭐⭐,Phone + email + FB. Female sole trader. Active Facebook page.
MP Decor Dublin (Martin),Painter & Decorator,089 452 2417,,martinpaintingservices@gmail.com,Dublin 3,https://www.facebook.com/mpdecordublin/,None,⭐⭐⭐⭐,Phone + email + FB. Interior painting specialist.
Dalkey Painter & Decorator,Painter & Decorator,085 152 0883,,,106 St Begnets Villas - Dalkey,None,None,⭐⭐⭐⭐,Phone confirmed via Golden Pages. Dalkey address. Name unconfirmed - ask on call.
Blackrock Handyman (Peter & Alex),Handyman / Carpenter,,,,Blackrock - South Dublin,https://www.facebook.com/Blackrockhandyman/,None,⭐⭐⭐,No public phone - message on FB to get number. Active page. Flat pack/carpentry/tiling.
Mahon Blackrock Handyman,Handyman,,,,Blackrock - South Dublin,https://www.facebook.com/mahonblackeock.handyman/,None,⭐⭐⭐,No public phone - message on FB to get number. Active Blackrock page.
A&D Handyman,Handyman,,,,Dublin (South Dublin coverage),https://www.facebook.com/Adhandymandublin/,None,⭐⭐⭐,No public phone - message on FB. 4100+ likes. No website.
Nick The Plasterer Dublin,Plasterer,,,,Dublin,https://www.facebook.com/NickThePlasterer/,None,⭐⭐⭐,Facebook only. Message to get number.
E.C. Plumbing & Contracting,Plumber / Multi-trade,,,,South Dublin,https://www.facebook.com/p/EC-Plumbing-Contracting-100076081171293/,None,⭐⭐,Facebook only. Message to get number.
South Dublin Plumber,Plumber,,,,South Dublin,https://www.facebook.com/southdublinplumber/,southdublinplumber.com,❌ HAS WEBSITE,Has a website - not a RELIER prospect.
South Dublin Electricians,Electrician,,,,South Dublin,https://www.facebook.com/100068467960531,Possible website,⚠️ VERIFY,Needs website verification before calling.
